Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
methyl 2-propionyloxypropanoate; O-propionyl-lactic acid methyl ester; 2-Propionyloxy-propionsaeure-methylester; O-Propionyl-milchsaeure-methylester,CCC(=O)OC(C)C(=O)OC,160.17,61402-72-0,22000,25,Article; Fein; Fisher; Industrial and Engineering Chemistry; vol. 40; (1948); p. 536;,H2O,100 g solvent dissolves. 2.2 g Substance.,QCHIRICIDKIMSH-UHFFFAOYSA-N
"5-[2-(2-diethylamino-ethoxy)-phenyl]-5-methyl-imidazolidine-2,4-dione; 5-[2-(2-Diaethylamino-aethoxy)-phenyl]-5-methyl-imidazolidin-2,4-dion",CCN(CC)CCOC1=C(C=CC=C1)C1(C)NC(=O)NC1=O,305.377,,2200,20,Patent; Cassella; US2615897; (1949);,H2O,Solubility :0.34 percent.,RBGXTAXDRXHDPZ-UHFFFAOYSA-N
5-methyl-5-(3-methylbutyl) barbituric acid; 5-isopentyl-5-methyl-barbituric acid; 5-Isopentyl-5-methyl-barbitursaeure,CC(C)CCC1(C)C(=O)NC(=O)NC1=O,212.249,67051-30-3,800,15,Article; Sommaire; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 195;,H2O,100 g solvent dissolves. 0.08 g Substance.,RGFAQSMJEZWLDS-UHFFFAOYSA-N
"7-(4-bromobenzyl)-6-methylquinoline-5,8-dione; 7-(p-bromobenzyl)-6-methylquinoline-5,8-dione; DAL13-I47",CC1=C(CC2=CC=C(Br)C=C2)C(=O)C2=C(C=CC=N2)C1=O,342.192,1314099-63-2,0.37,20,"Article; Lanfranchi, Don Antoine; Cesar-Rodo, Elena; Bertrand, Benoit; Huang, Hsin-Hung; Day, Latasha; Johann, Laure; Elhabiri, Mourad; Becker, Katja; Williams, David L.; Davioud-Charvet, Elisabeth; Organic and Biomolecular Chemistry; vol. 10; 31; (2012); p. 6375 - 6387;",water,Solubility: 1.09 mumol/l,SASDAOHBMYDDFI-UHFFFAOYSA-N
"2-trifluoromethyl-1,7-dihydro-purin-6-one; 2-Trifluormethyl-1,7-dihydro-purin-6-on; 2-trifluoromethylhypoxanthine",FC(F)(F)C1=NC2=C(NC=N2)C(=O)N1,204.111,2268-14-6,1123.6,20,"Article; Giner-Sorolla; Bendich; Journal of the American Chemical Society; vol. 80; (1958); p. 5744,5751;",H2O,890 g solvent dissolves. 1 g Substance.,SLPBZJPJRTYAPU-UHFFFAOYSA-N
"3,6-bis-hydroxymethyl-piperazine-2,5-dione; (R)-cis-3,6-bis-hydroxymethyl-piperazine-2,5-dione; (R)-cis-3,6-Bis-hydroxymethyl-piperazin-2,5-dion; cis-3,6-Bis-(hydroxymethyl)-piperazin-2,5-dion; cis-3,6-Bis-(hydroxymethyl)-2,5-piperazindion",OC[C@H]1NC(=O)[C@@H](CO)NC1=O,174.156,20945-52-2,27900,20,"Article; Brockmann; Musso; Chemische Berichte; vol. 89; (1956); p. 241,243;",H2O,100 g solvent dissolves. 2.79 g Substance.,SUWGHSHLNOADHI-QWWZWVQMSA-N
alanyl=>leucyl=>valine; Alanyl=>leucyl=>valin,CC(C)CC(NC(=O)C(C)N)C(=O)NC(C(C)C)C(O)=O,301.386,,4400,25,Article; Abderhalden; Sickel; Fermentforschung; vol. 9; p. 464; Chemisches Zentralblatt; vol. 99; II; (1928); p. 576;,H2O,100 g solvent dissolves. 0.44 g Substance.; <l-alanyl>-l-leucyl-l-valine,UJJUHXAJSRHWFZ-UHFFFAOYSA-N
N-2-furoylalanine; N-(furan-2-carbonyl)-alanine; N-(Furan-2-carbonyl)-alanin,CC(NC(=O)C1=CC=CO1)C(O)=O,183.164,,8237.23,14,Article; Baum; Chemische Berichte; vol. 37; (1904); p. 2955;,H2O,1 part(s) of substance.dissolves in:121.4 parts of solvent.,VNYWJRJEGHPIQW-UHFFFAOYSA-N
3-hydroxy-asparagine ; DL-threo-3-hydroxy-aspartic acid-4-amide; 3-Hydroxy-asparagin; DL-threo-3-Hydroxy-asparaginsaeure-4-amid; (+/-)-threo-3-Amino-2-hydroxy-bernsteinsaeure-1-amid; DL-threo-3-Hydroxy-asparaginsaeure-4-amid; threo-Hydroxy-DL-asparagin,[H][C@@](N)(C(O)=O)[C@]([H])(O)C(N)=O,148.119,16712-79-1; 20790-72-1; 20790-74-3; 26462-39-5; 83247-68-1; 89196-21-4; 131104-08-0,18181.81,20,Article; Chibnall; Cannan; Biochemical Journal; vol. 24; (1930); p. 953;,H2O,1 part(s) of substance.dissolves in:55 parts of solvent.,VQTLPSCRBFYDNX-LWMBPPNESA-N
"1,6-dichloro-1,6-dideoxy-mannitol; 1,6-Dichlor-1,6-didesoxy-mannit",OC(CCl)C(O)C(O)C(O)CCl,219.065,196812-16-5,45454.54,14,"Article; Bouchardat; Annales de Chimie (Cachan, France); vol. <5> 6; (1875); p. 105,128;",H2O,1 part(s) of substance.dissolves in:22 parts of solvent.; mannitol dichlorohydrin,VSYOJRJNYPFTHS-UHFFFAOYSA-N
"4-isobutyl-1,5-dimethyl-2-phenyl-1,2-dihydro-pyrazol-3-one; 4-Isobutyl-1,5-dimethyl-2-phenyl-1,2-dihydro-pyrazol-3-on",CC(C)CC1=C(C)N(C)N(C1=O)C1=CC=CC=C1,244.337,,5500,25,"Article; Giacalone; Di Maggio; Gazzetta Chimica Italiana; vol. 69; (1939); p. 122,125;",H2O,Solubility :0.55 percent.,WBDWJLIWLPSEIE-UHFFFAOYSA-N
"(4,5-dihydro-thiazol-2-yl)-acetone; (4,5-Dihydro-thiazol-2-yl)-aceton",CC(=O)CC1=NCCS1,143.21,97855-56-6,10000,20,"Article; Kuhn et al.; Chemische Berichte; vol. 86; (1953); p. 468,470;",H2O,Solubility :1 percent.,WHJUKZVLAVJEJZ-UHFFFAOYSA-N
"2,3-dibromo-3-chloro-acrylic acid; 2,3-Dibrom-3-chlor-acrylsaeure",OC(=O)C(\Br)=C(\Cl)Br,264.301,88917-04-8,26000,20,Article; Mabery; Lloyd; American Chemical Journal; vol. 6; (1884); p. 162;,H2O,2.6 part(s) of substance.dissolves in:100 parts of solvent.,WQSDAEICEKYSPL-UPHRSURJSA-N
"2,3,3-trimethyl-adipic acid; 2,3,3-Trimethyl-adipinsaeure",CC(C(O)=O)C(C)(C)CCC(O)=O,188.224,920-79-6,5555.56,26,"Article; Gorter; vol. 1; (1920); p. 333,336;",H2O,1 part(s) of substance.dissolves in:180 parts of solvent.,YBAXNZSTHONUAE-UHFFFAOYSA-N
"2,6-diethyl-1,5-dimethyl-1H-pyrimidin-4-one; 2,6-Diaethyl-1,5-dimethyl-1H-pyrimidin-4-on",CCC1=NC(=O)C(C)=C(CC)N1C,180.25,,80000,18,"Article; v. Meyer,E.; Journal fuer Praktische Chemie (Leipzig); vol. <2> 26; (1882); p. 355,358, 360;",H2O,1 part(s) of substance.dissolves in:12-13 parts of solvent.,YRXGXPCMEAVCMQ-UHFFFAOYSA-N
"2-Brom-2,2-dichlorethanol; 2-bromo-2,2-dichloro-ethanol; 2-Brom-2,2-dichlor-aethanol",OCC(Cl)(Cl)Br,193.855,69497-24-1,70000,25,Patent; I.G.Farbenind.; DE600769; (1932); Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 21; p. 651;,H2O,Solubility :7 percent.,YZTOJSCFQRPGLD-UHFFFAOYSA-N
"pentane-1,2,3,5-tetracarboxylic acid; Pentan-1,2,3,5-tetracarbonsaeure; 1,2,3,5-pentanetetracarboxylic acid",OC(=O)CCC(C(CC(O)=O)C(O)=O)C(O)=O,248.189,,153846.15,20,"Article; Kuester; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 130; (1923); p. 4,11;",H2O,1 part(s) of substance.dissolves in:6.5 parts of solvent.,ZINWPIUEIVPAIN-UHFFFAOYSA-N
"6-hydroxy-10-oxo-5,9-seco-de-A-strychnidin-5-oic acid; 6-Hydroxy-10-oxo-5,9-seco-des-A-strychnidin-5-saeure",OC(C(O)=O)C12CCN3CC4=CCOC5CC(=O)NC1C5C4CC23,334.372,,71428.57,20,Article; Leuchs; Chemische Berichte; vol. 62; (1929); p. 1934;; ; Article; Leuchs; Hoffmann; Chemische Berichte; vol. 62; (1929); p. 2310; Chemische Berichte; vol. 63; (1930); p. 442;,H2O,1 part(s) of substance.dissolves in:14 parts of solvent.,ZRWCXLUVEKUXIM-UHFFFAOYSA-N
3-arsono-propionic acid; 2-Carboxy-aethan-arsonsaeure-(1); 2-Carboxy-aethylarsonsaeure; 3-Arsono-propionsaeure; (2-Carboxy-ethyl)-arsonsaeure,OC(=O)CC[As](O)(O)=O,198.007,,255600,20,"Article; Terpstra bei Backer;Mulder; Recueil des Travaux Chimiques des Pays-Bas; vol. 55; (1936); p. 364,365;",H2O,100 g solvent dissolves. 25.56 g Substance.,ZRYZSCYAQOHXDM-UHFFFAOYSA-N
"2,6-diethyl-pyrimidin-4-ylamine; 2,6-Diaethyl-pyrimidin-4-ylamin; 2,6-diethylpyrimidin-4-amine",CCC1=CC(N)=NC(CC)=N1,151.211,785020-52-2,27027.03,20,Article; Riess; v. Meyer; Journal fuer Praktische Chemie (Leipzig); vol. <2> 31; (1885); p. 112;,H2O,1 part(s) of substance.dissolves in:37 parts of solvent.,ZUYQFBZWGYKKAX-UHFFFAOYSA-N
"4,5,5-trimethyl-cyclopent-1-enecarboxylic acid; 4,5,5-Trimethyl-cyclopent-1-encarbonsaeure",CC1CC=C(C(O)=O)C1(C)C,154.209,,200,25,Article; Noyes; Potter; Journal of the American Chemical Society; vol. 34; (1912); p. 1072; Journal of the American Chemical Society; vol. 37; (1915); p. 201;,H2O,1 part(s) of substance.dissolves in:5000 parts of solvent.,AXTFFDGKWVIXJZ-UHFFFAOYSA-N
trans-4-hydroxycyclohexyl isothiocyanate,O[C@H]1CC[C@@H](CC1)N=C=S,157.236,,8000,25,"Article; Tajima; Kimoto; Taketo; Taketo; Bioscience, biotechnology, and biochemistry; vol. 62; 3; (1998); p. 491 - 495;",H2O,Solubility: 0.80 weight-percent,CPWGOWRPDPLJAC-LJGSYFOKSA-N
N-methyl-N-o-tolyl-urea; N-Methyl-N-o-tolyl-harnstoff; N-Methyl-N-o-methyl-phenyl-harnstoff,CN(C(N)=O)C1=CC=CC=C1C,164.207,20632-28-4,65025.97,25,"Article; Hjort et al.; vol. 55; (1935); p. 152,172;",H2O,1000 g solvent dissolves. 0.396 Mol Substance.,IWYDNHDPJXFEOV-UHFFFAOYSA-N
N-phenyl-N-propyl-urea; N-Phenyl-N-propyl-harnstoff,CCCN(C(N)=O)C1=CC=CC=C1,178.234,,15328.12,25,"Article; Hjort et al.; Journal of Pharmacology and Experimental Therapeutics; vol. 55; (1935); p. 152,153,156;",H2O,1000 g solvent dissolves. 0.086 Mol Substance.,MLYLDCJHJWGZRJ-UHFFFAOYSA-N
(-)-2-phenethyl-piperidine; (-)-2-Phenaethyl-piperidin; (-)-2-Phenaethyl-piperidin; Lg-Hydrogentartrat-Hydrat,C(CC1=CC=CC=C1)[C@@H]1CCCCN1,189.301,132363-97-4,145000,13,Article; Ladenburg; Chemische Berichte; vol. 36; (1903); p. 3696;,H2O,14.5-14.6 part(s) of substance.dissolves in:100 parts of solvent.,MOUYVILUKZKNDE-ZDUSSCGKSA-N
N-propyl-N-o-tolyl-urea; N-Propyl-N-o-tolyl-harnstoff,CCCN(C(N)=O)C1=C(C)C=CC=C1,192.261,,13842.79,25,"Article; Hjort et al.; vol. 55; (1935); p. 152,172;",H2O,1000 g solvent dissolves. 0.072 Mol Substance.,YYPUSIBJDWLYAP-UHFFFAOYSA-N
"2-(2-carboxyethyl)-4-methylcyclopenta-1,3-dienecarboxylic acid; 3-(2-carboxy-4-methyl-cyclopenta-1,4-dienyl)-propionic acid; 3-(2-Carboxy-4-methyl-cyclopenta-1,4-dienyl)-propionsaeure; 4-Methyl-cyclopentadien-(1.3)-carbonsaeure-(1)-(beta-propionsaeure)-(2)",CC1=CC(CCC(O)=O)=C(C1)C(O)=O,196.203,854729-13-8,370.37,20,Article; Duden; Freydag; Chemische Berichte; vol. 36; (1903); p. 953;,H2O,1 part(s) of substance.dissolves in:2700 parts of solvent.,FLXMHFNHUZZRLZ-UHFFFAOYSA-N
"1-O-(4-methylbenzyl)glycerin; 3-(4-methyl-benzyloxy)-propane-1,2-diol; 3-(4-Methyl-benzyloxy)-propan-1,2-diol",CC1=CC=C(COCC(O)CO)C=C1,196.246,64049-45-2,100000,26,Article; Berger et al.; vol. 82; (1953); p. 532;,H2O,100 g solvent dissolves. 10 g Substance.,VAUHVOUAJDOEOR-UHFFFAOYSA-N
"2-amino-camphor-2-carboxylic acid; (1R)-2-amino-1,7,7-trimethyl-norbornane-2endo-carboxylic acid; (1R)-2-Amino-1,7,7-trimethyl-norbornan-2endo-carbonsaeure; 2-Aminobornan-2-carbonsaeure",CC1(C)[C@@H]2CC[C@@]1(C)[C@](N)(C2)C(O)=O,197.277,17138-08-8,2100,20,"Article; Hoyer; Chemische Berichte; vol. 83; (1950); p. 491,497; Chemische Berichte; vol. 87; (1954); p. 1849,1855;",H2O,100 g solvent dissolves. 0.21 g Substance.,JZJKRUCQCUXZTD-ONOSFVFSSA-N
"3,5,5-trimethyl-cyclopent-1-ene-1,3-dicarboxylic acid; 3,5,5-Trimethyl-cyclopent-1-en-1,3-dicarbonsaeure",CC1(C)CC(C)(C=C1C(O)=O)C(O)=O,198.219,854820-60-3,3800,25,"Article; Toivonen; Justus Liebigs Annalen der Chemie; vol. 419; (1919); p. 204,209; Chemisches Zentralblatt; vol. 94; I; (1923); p. 1356;",H2O,100 g solvent dissolves. 0.38 g Substance.; d-dehydroisofenchocamphoric acid,FTAMPWVSWJFEOY-UHFFFAOYSA-N
"(1R)-3t-carbamoyl-2,2,3c-trimethyl-cyclopentane-r-carboxylic acid; (1R)-3t-Carbamoyl-2,2,3c-trimethyl-cyclopentan-r-carbonsaeure; (1R)-trans-Camphersaeure-1-amid",CC1(C)[C@@H](CC[C@@]1(C)C(N)=O)C(O)=O,199.25,5333-17-5; 6787-29-7; 19908-60-2; 20536-65-6,10000,20,"Article; Delepine; Badoche; Annales de Chimie (Cachan, France); vol. <11> 17; (1942); p. 179,180;",H2O,100 g solvent dissolves. 1 g Substance.,GSTRJEXEASEEIB-WKEGUHRASA-N
(-)-trans-isofenchocamphoric acid; (-)-trans-Isofenchocamphersaeure,CC1(C)C[C@](C)(C[C@@H]1C(O)=O)C(O)=O,200.235,470-64-4,4600,25,Article; Sandelin; Justus Liebigs Annalen der Chemie; vol. 396; (1913); p. 299;,H2O,100 g solvent dissolves. 0.46 g Substance.,BGAUMHAIAGXEFB-LDWIPMOCSA-N
N-butyl-N-o-tolyl-urea; N-Butyl-N-o-tolyl-harnstoff,CCCCN(C(N)=O)C1=C(C)C=CC=C1,206.288,,5569.78,25,"Article; Hjort et al.; vol. 55; (1936); p. 152,172;",H2O,1000 g solvent dissolves. 0.027 Mol Substance.,ZZSZDEGVJADPCR-UHFFFAOYSA-N
2-hydroxy-3-phenyl-succinic acid; 2-Hydroxy-3-phenyl-bernsteinsaeure; alpha'-Oxy-alpha-phenyl-bernsteinsaeure; beta-Phenyl-aepfelsaeure,OC(C(C(O)=O)C1=CC=CC=C1)C(O)=O,210.186,112599-62-9,373500,15,"Article; Alexander; Justus Liebigs Annalen der Chemie; vol. 258; (1890); p. 76,86;",H2O,37.35 part(s) of substance.dissolves in:100 parts of solvent.,JHERUGSFPODGRD-UHFFFAOYSA-N
N'-benzenesulfonyl-N-methyl-guanidine; N'-Benzolsulfonyl-N-methyl-guanidin; N-Benzolsulfonyl-N-methyl-guanidin,CN(C(N)=N)S(=O)(=O)C1=CC=CC=C1,213.26,,400,25,Article; Ackermann; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 48; (1906); p. 382;,H2O,0.04 part(s) of substance.dissolves in:100 parts of solvent.,VPMNJGGYKJQTPU-UHFFFAOYSA-N
1-bromo-4-aci-nitromethyl-benzene; 1-Brom-4-aci-nitromethyl-benzol,ON(=O)=CC1=CC=C(Br)C=C1,216.034,,560,0,Article; Hantzsch; Schultze; Chemische Berichte; vol. 29; (1896); p. 2252;,H2O,100 g solvent dissolves. 0.056 g Substance.,QYQPTTBNVLHKMZ-UHFFFAOYSA-N
2-amino-6-chloro-3-hydroxy-benzenesulfonic acid; 2-Amino-6-chlor-3-hydroxy-benzolsulfonsaeure; 4-Chlor-2-amino-phenol-sulfonsaeure-(3),NC1=C(C(Cl)=CC=C1O)S(O)(=O)=O,223.637,,12400,20,Patent; Akt.-Ges. f. Anilinf.; DE148198;,H2O,1.24 part(s) of substance.dissolves in:100 parts of solvent.,IICOECPQAWDCFV-UHFFFAOYSA-N
"2-ethyl-1-(4-methoxy-phenyl)-butane-1,2-diol; (+/-)-1.2-Dihydroxy-2-aethyl-1-(4-methoxy-phenyl)-butan; 2-Aethyl-1-(4-methoxy-phenyl)-butan-1,2-diol; alpha.alpha-Diaethyl-alpha'-(4-methoxy-phenyl)-aethylenglykol",CCC(O)(CC)C(O)C1=CC=C(OC)C=C1,224.3,855244-11-0,3000,20,Article; Tiffeneau; Levy; Bulletin de la Societe Chimique de France; vol. <4> 33; (1923); p. 757; Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences; vol. 183; (1926); p. 1113;,H2O,Solubility :0.3 percent.,WHXINAFKGDBKFG-UHFFFAOYSA-N
"3,4-dihydroxy-5-methoxycarbonyloxy-benzoic acid; 3,4-Dihydroxy-5-methoxycarbonyloxy-benzoesaeure; Gallussaeure-O3-carbonsaeuremethylester; 3.4-Dioxy-5-(carbomethoxy-oxy)-benzoesaeure; O3-Carbomethoxy-gallussaeure",COC(=O)OC1=CC(=CC(O)=C1O)C(O)=O,228.158,,5000,20,"Article; Fischer,E.; Freudenberg; Chemische Berichte; vol. 45; (1912); p. 2718; Chemische Berichte; vol. 46; (1913); p. 1129;",H2O,1 part(s) of substance.dissolves in:200 parts of solvent.,MGCGGKIJLYVZQA-UHFFFAOYSA-N
4-amino-6-nitro-toluene-3-sulfonic acid; 4-Amino-6-nitro-toluol-3-sulfonsaeure,CC1=CC(=C(N)C=C1N(=O)=O)S(O)(=O)=O,232.217,702627-97-2,1743,11,Article; Foth; Justus Liebigs Annalen der Chemie; vol. 230; (1885); p. 308;,H2O,100 g solvent dissolves. 0.1743 g Substance.,ZMUWIPOIZHIWAN-UHFFFAOYSA-N
"2,4,6,8-tetramethyl-3-thia-2,4,6,8-tetraazabicyclo[3.3.0]octan-7-one 3,3-dioxide",CN1C2C(N(C)C1=O)N(C)S(=O)(=O)N2C,234.279,,5400,19,Article; Gazieva; Kravchenko; Lebedev; Abelentsev; Pharmaceutical Chemistry Journal; vol. 35; 2; (2001); p. 72 - 74;,H2O,Solubility: 0.54 weight-percent,LYHDDQSUMYQBNO-UHFFFAOYSA-N
2-phenyl-3-propylsuccinic acid; 2-phenyl-3-propyl-succinic acid; alpha-Propyl-alpha'-phenyl-bernsteinsaeure; 1-Phenyl-pentan-dicarbonsaeure-(1.2); 2-Phenyl-3-propyl-bernsteinsaeure,CCCC(C(C(O)=O)C1=CC=CC=C1)C(O)=O,236.268,180331-66-2,211,25,Article; Upson; Thompson; Journal of the American Chemical Society; vol. 44; (1922); p. 182;,H2O,100 g solvent dissolves. 0.0211 g Substance.,PIKMKWFGKRGJMK-UHFFFAOYSA-N
"5-hexyl-2,4-dihydroxy-benzoic acid; 5-Hexyl-2,4-dihydroxy-benzoesaeure; 6-n-Hexyl-resorcin-carbonsaeure-(4); 4.6-Dioxy-3-n-hexyl-benzoesaeure",CCCCCCC1=CC(C(O)=O)=C(O)C=C1O,238.284,,100,20,"Article; Sabalitschka; Archiv der Pharmazie (Weinheim, Germany); vol. 269; (1931); p. 545,560;",H2O,Solubility :0.01 percent.,XXLWBLDJUUFPOY-UHFFFAOYSA-N
2-iodo-4-propylphenol; 2-iodo-4-propyl-phenol; 2-Jod-4-propyl-phenol,CCCC1=CC(I)=C(O)C=C1,262.09,,90,25,"Article; Suter; Schuetz; Journal of Organic Chemistry; vol. 16; (1951); p. 1117,1119;",H2O,100 g solvent dissolves. 0.009 g Substance.,HDISSVUHYOGKTN-UHFFFAOYSA-N
acetone-(4-biphenyl-4-yl semicarbazone); Aceton-(4-biphenyl-4-yl-semicarbazon),C\C(C)=N/NC(=O)NC1=CC=C(C=C1)C1=CC=CC=C1,267.33,,2000,20,"Article; Barre; Piche; Canadian Journal of Research, Section B: Chemical Sciences; vol. 20; (1942); p. 17,19;",H2O,100 g solvent dissolves. 0.2 mg Substance.,GZUAOIFFEMVXKO-UHFFFAOYSA-N
(4-iodo-phenyl)-oxalamic acid; Oxalsaeure-mono-(4-jod-anilid); (4-Jod-phenyl)-oxalamidsaeure; (4-Jod-phenyl)-oxamidsaeure; 4-Jod-oxanilsaeure,OC(=O)C(=O)NC1=CC=C(I)C=C1,291.045,,722.02,25,Article; Dyer; Mixter; American Chemical Journal; vol. 8; (1886); p. 353;,H2O,1 part(s) of substance.dissolves in:1385 parts of solvent.,XAIDDLZNOOHUIB-UHFFFAOYSA-N
N2-((S)-alpha-bromo-isovaleryl)-L-asparagine; N2-((S)-alpha-Brom-isovaleryl)-L-asparagin,[H][C@@](CC(N)=O)(NC(=O)[C@@H](Br)C(C)C)C(O)=O,295.133,,5000,20,Article; Berlingozzi; Furia; vol. 19; (1929); p. 411;,H2O,Solubility :0.5 percent.,ZWEVPXGEOZVXSB-FSPLSTOPSA-N
N2-((R)-alpha-bromo-isovaleryl)-L-asparagine; N2-((R)-alpha-Brom-isovaleryl)-L-asparagin,[H][C@@](CC(N)=O)(NC(=O)[C@H](Br)C(C)C)C(O)=O,295.133,,19000,20,Article; Berlingozzi; Furia; vol. 19; (1929); p. 411;,H2O,Solubility :1.9 percent.,ZWEVPXGEOZVXSB-CAHLUQPWSA-N
2-amino-5-iodo-benzenesulfonic acid; 2-Amino-5-jod-benzolsulfonsaeure; 4-Jod-anilin-sulfonsaeure-(2),NC1=C(C=C(I)C=C1)S(O)(=O)=O,299.089,171664-62-3,5100,25,Article; Boyle; Journal of the Chemical Society; vol. 115; (1919); p. 1508;,H2O,100 g solvent dissolves. 0.51 g Substance.,PFRBJMWODYFCJT-UHFFFAOYSA-N
4-amino-2-iodo-benzenesulfonic acid; 4-Amino-2-jod-benzolsulfonsaeure; 3-Jod-anilin-sulfonsaeure-(4),NC1=CC(I)=C(C=C1)S(O)(=O)=O,299.089,1031236-31-3,1940,25,Article; Boyle; Journal of the Chemical Society; vol. 115; (1919); p. 1508;,H2O,100 g solvent dissolves. 0.194 g Substance.,ROYMHXYMRDXAQP-UHFFFAOYSA-N
alpha-bromo-isovaleric acid-[1]naphthylamide; alpha-Brom-N-(naphthyl-(1))-isovaleramid; alpha-Brom-isovaleriansaeure-[1]naphthylamid; alpha-Brom-isovaleriansaeure-alpha-naphthylamid,CC(C)C(Br)C(=O)NC1=CC=CC2=C1C=CC=C2,306.202,,17100,20,"Article; Covello; Rendiconto dell'Accademia delle Scienze Fisiche e Matematiche, Naples; vol. <4>2; (1932); p. 73; Chemisches Zentralblatt; vol. 104; II; (1933); p. 2661;",H2O,Solubility :1.71 percent.,LFLVCYUIGBCYRC-UHFFFAOYSA-N
nonyl beta-D-galactopyranoside,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,306.4,,1100,25,"Article; Chen, Guoyong; Li, Zhencao; Chen, Langqiu; Ji, Shanwei; Shen, Wangzhen; Journal of Surfactants and Detergents; vol. 19; 6; (2016); p. 1095 - 1105;",water,Solubility: 0.11 g/100g solvent,QFAPUKLCALRPLH-GZBLMMOJSA-N
"5-chloro-9,10-dioxo-9,10-dihydro-anthracene-2-sulfonic acid; 5-Chlor-9,10-dioxo-9,10-dihydro-anthracen-2-sulfonsaeure; 5-Chlor-anthrachinon-sulfonsaeure-(2)",OS(=O)(=O)C1=CC2=C(C=C1)C(=O)C1=C(Cl)C=CC=C1C2=O,322.726,300360-23-0,250000,18,"Article; Fierz-David,H.E.; Helvetica Chimica Acta; vol. 10; (1927); p. 199; Journal fuer Praktische Chemie (Leipzig); vol. <2>131; (1931); p. 374;",H2O,1 part(s) of substance.dissolves in:4 parts of solvent.,UCCPGHXEJGZBGD-UHFFFAOYSA-N
"2-amino-4,5-dibromo-benzenesulfonic acid; 2-Amino-4,5-dibrom-benzolsulfonsaeure; 4.5-Dibrom-anilin-sulfonsaeure-(2)",NC1=C(C=C(Br)C(Br)=C1)S(O)(=O)=O,330.985,763880-02-0,1089,10,Article; Spiegelberg; Justus Liebigs Annalen der Chemie; vol. 197; (1879); p. 257;,H2O,100 g solvent dissolves. 0.1089 g Substance.,RXJAGILUJDLXRA-UHFFFAOYSA-N
"2-amino-4,5-dibromo-benzenesulfonic acid; 2-Amino-4,5-dibrom-benzolsulfonsaeure; 4.5-Dibrom-anilin-sulfonsaeure-(2)",NC1=C(C=C(Br)C(Br)=C1)S(O)(=O)=O,330.985,763880-02-0,1525,24,Article; Spiegelberg; Justus Liebigs Annalen der Chemie; vol. 197; (1879); p. 257;,H2O,100 g solvent dissolves. 0.1525 g Substance.,RXJAGILUJDLXRA-UHFFFAOYSA-N
,NS(=O)(=O)C1=CC(=C(N2CCOCC2)C(=C1)N(=O)=O)N(=O)=O,332.294,,60,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.006 weight-percent,RONAEDGJHPJAIB-UHFFFAOYSA-N
(beta-naphthalenesulfonyl)-glycyl-alanine; (beta-Naphthalinsulfonyl)-glycyl-alanin,CC(NC(=O)CNS(=O)(=O)C1=CC2=CC=CC=C2C=C1)C(O)=O,336.368,,497.08,20,"Article; Fischer,E.; Bergell; Chemische Berichte; vol. 36; (1903); p. 2602;",H2O,1 part(s) of substance.dissolves in:2012 parts of solvent.; <beta-naphthalenesulfonyl>-glycyl-d-alanine,BFCBZNIKVBHOIM-UHFFFAOYSA-N
N-[N-(naphthalene-sulfonyl-(2))-DL-alanyl]-glycine; (beta-naphthalenesulfonyl)-alanyl-glycine; N-[N-(Naphthalin-sulfonyl-(2))-DL-alanyl]-glycin; (beta-Naphthalinsulfonyl)-alanyl-glycin,CC(NS(=O)(=O)C1=CC2=CC=CC=C2C=C1)C(=O)NCC(O)=O,336.368,,1406.47,20,"Article; Fischer,E.; Bergell; Chemische Berichte; vol. 36; (1903); p. 2602;",H2O,1 part(s) of substance.dissolves in:711 parts of solvent.; <beta-naphthalenesulfonyl>-<d-alanyl>-glycine,YHRJCOGWICAMGP-UHFFFAOYSA-N
bis-ethanesulfonyl-benzenesulfonyl-methane; Bis-aethansulfonyl-benzolsulfonyl-methan; Diaethylsulfon-phenylsulfon-methan; Bis-aethylsulfon-phenylsulfon-methan,CCS(=O)(=O)C(S(=O)(=O)CC)S(=O)(=O)C1=CC=CC=C1,340.442,151144-93-3,20000,15,Article; Laves; Chemische Berichte; vol. 25; (1892); p. 356;,H2O,1 part(s) of substance.dissolves in:50 parts of solvent.,ZYUJJWLTXLXUDO-UHFFFAOYSA-N
